EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
010696988,NORTH COAST SYMPHONIC BAND ASSOCIATION,% JUDITH SHATTO,35185 ORCHARD LN,ASTORIA,OR,97103-8339,0000,03,3,2000,200410,1,15,000000000,1,01,201712,0,0,02,0,12,0,0,0,A69,
010715181,RIVER RESTORATION NORTHWEST INC,% TERRIL STEVENSON,PO BOX 4962,PORTLAND,OR,97208-4962,0000,03,3,1000,200308,1,15,000000000,1,01,201606,4,4,01,0,06,294454,363532,363532,B03,
010716814,TOASTMASTERS INTERNATIONAL,% FEEDBACKERS TOASTMASTERS CLUB,PO BOX 68171,PORTLAND,OR,97268-0171,0820,03,9,2000,194505,1,16,059319000,1,01,201712,0,0,02,0,12,0,0,0,,9459 FEEDBACKERS TOASTMASTERS CLUB
010726380,BRIGHT FUTURES FOUNDATIONS,% CATHERINE DAVIS,PO BOX 248,MURPHY,OR,97533-0248,0000,03,3,1200,200305,1,15,000000000,1,01,201612,4,3,01,0,12,143450,53193,48685,B82,
010731775,MISSION DENTAL FOUNDATION INC,% AUSTIN INDUSTRIES,PO BOX 772,NEWBERG,OR,97132-0772,0000,03,3,1000,200210,1,16,000000000,1,01,201706,3,4,01,0,06,88668,434958,434958,S20,
010742572,TOASTMASTERS INTERNATIONAL,% AMERICAN RED CROSS OREGON TRAIL C,835 N HUMBOLDT ST,PORTLAND,OR,97217-2507,0820,03,9,2000,194505,1,16,059319000,1,01,201612,0,0,02,0,12,0,0,0,,5352 AMERICAN RED CROSS OREGON TRAI
010743326,HILLSBORO VINEYARD CHURCH,% ADAM BABCOCK,PO BOX 762,HILLSBORO,OR,97123-0762,0000,03,3,7000,200412,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
010755594,SCHOOL GARDEN PROJECT OF LANE COUNTY,% JARED PRUCH,PO BOX 30072,EUGENE,OR,97403-1072,0000,03,3,1230,200303,1,15,000000000,1,01,201708,4,4,01,0,08,238378,308848,308848,C42,
010757719,HEALTHY FORESTS HEALTHY COMMUNITIES,,5100 SW MACADAM AVE STE 350,PORTLAND,OR,97239-3877,0000,04,3,1000,200306,2,00,000000000,1,01,201612,4,4,01,0,12,310226,220875,220875,C36,
010757957,DEPARTEMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,% SONJA MORGENTHALER,PO BOX 1648,REDMOND,OR,97756-0513,5743,19,9,1000,201007,2,00,000000000,5,01,201706,3,3,02,0,06,97026,89484,0,W30,4108 DESCHUTES AUXILIARY TO POST
010765884,NORTH CLACKAMAS CHRISTIAN SCHOOL,% JULIA PHIPPS ADMIN,19575 SEBASTIAN WAY,OREGON CITY,OR,97045-8128,0000,03,3,2700,200411,1,11,000000000,1,01,201706,5,6,01,0,06,616925,1706844,1674224,B25,
010777882,COMMUNITY HOUSING III INC,% ROBERT MAHJOR,4150 SW MOODY AVE,PORTLAND,OR,97239-4417,0000,03,3,1000,200308,1,15,000000000,1,01,201612,6,4,01,0,12,2652926,188830,188830,L20,
010778376,OAK HILLS SOCCER CLUB,% MICHAEL R PETITT,PO BOX 91608,PORTLAND,OR,97291-0016,0000,03,3,1000,200309,1,16,000000000,1,01,201612,3,3,01,0,12,85717,79995,79995,N64,
010793620,WALWORTH MUSIC FOUNDATION,% DIANE WALWORTH,308 E 10TH ST,THE DALLES,OR,97058-2360,0000,03,3,2000,200412,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,B11,
010799951,TIGARD BLAST FASTPITCH SOFTBALL ASSOCIATION,% LESLIE OPPAT,PO BOX 230245,PORTLAND,OR,97281-0245,0000,03,3,2100,200411,1,15,000000000,1,01,201612,1,3,02,0,12,4623,44720,44720,N63,
010815770,BRIDAL VEIL HISTORICAL PRESERVATION SOCIETY,% GERI CANZLER,PO BOX 33,BRIDAL VEIL,OR,97010-0033,0000,03,3,1000,200903,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,A80,
010818045,SALISA BANA,% JACKY MWANA-NTEBA,PO BOX 1027,CLACKAMAS,OR,97015-1027,0000,03,3,1000,200509,1,15,000000000,1,01,201612,4,4,01,0,12,181914,156265,156265,B20,
010822580,W VERNE MCKINNEY PTO,% MCKINNEY ELEMENTARY SCHOOL,535 NW DARNIELLE ST,HILLSBORO,OR,97124-2214,0000,03,3,1200,200505,1,16,000000000,1,01,201707,0,0,02,0,07,0,0,0,B94,
010824856,MCKEE BRIDGE HISTORICAL SOCIETY,% ROBERT VAN HEUIT,PO BOX 854,JACKSONVILLE,OR,97530-0854,0000,03,3,2000,200508,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,A80,
010836605,SUNSET APOLLO SOFTBALL CLUB,% DAN OLEARY,10960 NW ZERMATT CT,PORTLAND,OR,97229-6175,0000,03,3,1200,200506,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,N63,
010838585,AMATEUR ATHLETIC UNION OF THE UNITED STATES,% COLLEEN POLK,3826 ASHFORD DR,EUGENE,OR,97405-6228,1155,03,9,1200,196601,1,15,059000000,5,01,201708,0,0,02,0,08,0,0,0,,OREGON AAU
010844437,ENFOQUE IXCAN,% SCOTT PIKE,5784 SE LEXINGTON DR,HILLSBORO,OR,97123-8285,0000,03,3,1000,200605,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,Q33,
010848977,PORTLAND TRIATHLON CLUB,%,9518 NW ARBORVIEW DR,PORTLAND,OR,97229-6380,0000,04,3,1000,201607,2,00,000000000,1,01,201612,0,0,02,0,12,0,0,0,N60,
010862616,SHALOM PRAYER CENTER,% DOROTHY JEAN BEYER,840 S MAIN ST,MOUNT ANGEL,OR,97362-9608,0928,03,9,1000,194603,1,10,000000000,5,01,201612,3,4,06,0,12,42054,230133,194449,,
010862621,BENEDICTINE SISTERS,% DOROTHY JEAN BEYER,925 S MAIN ST,MOUNT ANGEL,OR,97362-9578,0928,03,9,1700,194603,1,15,031150120,5,01,201612,6,5,13,0,12,1974087,607096,534237,,ST JOSEPH SHELTER
010866805,INSTITUTE FOR LANGUAGE AND EDUCATION POLICY INC,% JAMES W CRAWFORD,PO BOX 19025,PORTLAND,OR,97280-0025,0000,03,3,1000,200610,1,16,000000000,2,01,201703,0,0,02,0,03,0,0,0,T20,
010867255,KINGDOM FIRST CHRISTIAN CENTER INC,% HORIS GREEN,PO BOX 20952,PORTLAND,OR,97294-0952,0000,03,3,7000,200805,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
010872176,PAINT ACROSS AMERICA,% KARA HULTIN,5114 SE 35TH AVE,PORTLAND,OR,97202-4118,0000,03,3,1000,200702,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,A20,
010873084,SKYLINE BAPTIST CHURCH,,4787 SKYLINE RD S,SALEM,OR,97306-2404,1675,03,9,7000,196408,1,10,001029000,5,01,,0,0,06,0,12,,,,,
010875323,KNIGHTS OF COLUMBUS,% ALAN STICKEL,12530 SE 222ND DR,DAMASCUS,OR,97089-9316,0188,08,9,1000,194010,1,00,036029265,5,01,201606,0,0,02,0,06,0,0,0,Y40,13700 ST JOSEPH THE WORKER COUNCIL
010876961,SILVER LAKE COMMUNITY YOUTH CENTER,% DARRELL R ANDERSON,PO BOX 200,SILVER LAKE,OR,97638-0200,0000,03,3,1000,200902,1,15,000000000,1,01,201412,1,2,02,0,12,3,23953,23953,O20,
010881865,FOSSIL COMMUNITY SCHOLARSHIP FUND,% MARILYN GARCIA,PO BOX 363,FOSSIL,OR,97830-0363,0000,03,3,1000,200810,1,15,000000000,1,01,201712,0,0,02,0,12,0,0,0,B82,
010882460,AAMA STATE OF OREGON SOCIETY LINN- BENTON CHAPTER,% KARAN DRAHN,PO BOX 1231,ALBANY,OR,97321-0537,0000,06,3,1000,201204,2,00,000000000,1,01,201503,0,0,02,0,03,0,0,0,S41,LINN BENTON CHPTR OF MEDICAL ASSTS
010883236,CURRY FAIR FRIENDS,% TERRY BOATMAN,29392 ELLENSBURG AVE,GOLD BEACH,OR,97444-7718,0000,03,3,1200,200902,1,16,000000000,1,01,201612,3,3,01,0,12,38983,81754,73013,S11,
010888477,THE KOHL KITTY KARE,% GLORIA KOHL,1431 SOUTHWEST BLVD,COOS BAY,OR,97420-1137,0000,03,3,4000,200908,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,,
010892519,COUNCIL FOR PROSTITUTION ALTERNATIVES INC,% LILA LEE,PO BOX 74,LAKE OSWEGO,OR,97034-0011,0000,03,3,1000,200710,1,15,000000000,1,01,201706,0,0,02,0,06,0,0,0,P50,
010893022,LESSONS AND PAWS,% ESTELA BERNAL,PO BOX 13451,PORTLAND,OR,97213-0451,0000,03,3,1200,200707,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,D20,
010899030,SHERWOOD CRUISERS CAR CLUB,% LESLIE BAHLS,21370 LANGER FARMS PKWY STE 142 BO,SHERWOOD,OR,97140-9137,0000,07,3,1000,201204,2,00,000000000,5,01,201612,0,0,02,0,12,0,0,0,N50,
010911439,PINE EAGLE EDUCATION FOUNDATION,% LAURI BRYAN,PO BOX 411,HALFWAY,OR,97834-0411,0000,03,3,2000,201302,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,B11,
010914259,LUNACY STAGEWORKS INC,% RICHARD CASTLE,13019 SE LINCOLN ST,PORTLAND,OR,97233-1435,0000,03,3,1200,201109,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,A65,
010916694,TOPS CLUB INC,% SUSAN MALYSZAK,2632 CHUCKANUT ST,EUGENE,OR,97408-7379,5501,03,9,1200,200809,1,16,000000000,5,01,201703,0,0,02,0,03,0,0,0,,1020 CRESWELL TOPS OR
010917003,BIBLE FELLOWSHIP OF MONUMENT,% 101 NE LST AVENUE,101 NE 1ST AVE,JOHN DAY,OR,97845-1201,0000,03,3,7000,201106,1,10,000000000,1,01,,0,0,06,0,06,,,,X21,
010921220,BELLVIEW PTO,% BELLVIEW PTO,1070 TOLMAN CREEK RD,ASHLAND,OR,97520-3649,0000,03,3,1000,200906,1,16,000000000,1,01,201608,0,0,02,0,08,0,0,0,B94,
010926686,TOOTH TROOP,% KAREN PHILLIPS,16880 NE HERD RD,NEWBERG,OR,97132-6674,0000,03,3,1000,200911,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,E60,
010928994,HELPING HANDS HEARTS OF GOLD FOUNDATION,% KANDACE K HORLINGS,14525 SW CHESTERFIELD LN,TIGARD,OR,97224-1972,0000,03,3,1000,201002,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,L20,
010930718,SIUSLAW AREA PARTNERSHIP TO PREVENT SUBSTANCE ABUSE,% JENNY VELINTY,PO BOX 1036,FLORENCE,OR,97439-0049,0000,03,3,1000,201007,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,F21,SAPPSA
010932751,LIFESTYLE MEDICINE FOUNDATION,% MARC BRAMAN,PO BOX 4141,SALEM,OR,97302-8141,0000,03,3,1000,201002,1,15,000000000,1,01,201612,2,4,01,0,12,18788,190867,190867,G03,
010934461,SPIRITUAL ASSEMBLY OF THE BAHAIS OF YAMHILL COUNTY,% JAMES FERGUSON,18959 NE WOODLAND LOOP RD,YAMHILL,OR,97148-0000,9508,03,9,7000,199505,1,10,001000000,1,01,,0,0,06,0,12,,,,,8573 YAMHILL COUNTY
010937900,GORGE GOODTIMERS,% JOHN VOGEL,1105 METHODIST RD,HOOD RIVER,OR,97031-8768,0000,07,3,1000,201405,2,00,000000000,5,01,201606,0,0,02,0,06,0,0,0,T99,
010941543,ASSOCIATION FOR THE DEVELOPMENT AND PRESERVATION OF WORLD FOLK TRADIT,% GEORGE KACHMARIK,2003 NE HOLMAN ST,PORTLAND,OR,97211-5478,0000,03,3,2000,201003,1,15,000000000,5,01,201612,0,0,02,0,12,0,0,0,A62,
010944988,CHEHALEM VALLEY BMX,% KEN PLISKA,1802 SW ACORN CT,MCMINNVILLE,OR,97128-7409,0000,03,3,1000,201004,1,16,000000000,1,01,201612,0,0,02,0,12,0,0,0,,
010947548,PORTLAND MEDICAL COMMUNITY MANAGERS,% OREGON MEDICAL ASSOCIATION,1130 NW 22ND AVE STE 150,PORTLAND,OR,97210-2900,0000,06,3,1000,201007,2,00,000000000,1,01,201612,1,1,02,0,12,2581,8641,8641,S41,
010950792,WRIGHT FAMILY FOUNDATION,% CYNTHIA DAUM,12375 SW FIELDING CT,BEAVERTON,OR,97008-6918,0000,03,3,1000,201103,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,G43,
010952431,IVERSON MINISTRIES INTERNATIONAL,% ROXANN IVERSON,2051 SW NANCY DR,GRESHAM,OR,97080-7322,0000,03,3,1000,201111,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,X19,
010953706,OR DEAL INC,% OR DEAL,1417 SW 10TH AVE APT 307,PORTLAND,OR,97201-3526,0000,03,3,1000,201105,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,T20,ELDER ABUSE NETWORK
010955852,GOLD WING ROAD RIDERS ASSOCIATION,% LARRY OVERTON,100 TAWNY CT,STANFIELD,OR,97875-4633,7196,04,9,1000,198302,2,00,317000000,1,01,201712,0,0,02,0,12,0,0,0,,OR-H
010957717,DEPARTMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,% ROSE MURRY,524 SW BAILEY AVE,HILLSBORO,OR,97123-5602,5743,19,9,1000,201007,2,00,000000000,5,01,201706,0,0,02,0,06,0,0,0,W30,2666 MARTIN J RYAN AUXILIARY
010959162,SKYLL,% JOHN STORY,PO BOX 21106,KEIZER,OR,97307-1106,0000,07,3,1000,201406,2,00,000000000,1,01,201712,0,0,02,0,12,0,0,0,N50,SALEM KEIZER YOUTH LACROSSE LEAGUE
010961554,OREGON SOCIETY OF DERMATOLOGY ASSOCIATES,% KIM SANDERS,19226 CHILDS CT,LAKE OSWEGO,OR,97035-8055,0000,03,3,1000,201009,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,,
010963830,DESERT DREAM MENTOR PROGRAM,,362 N BROADWAY AVE,BURNS,OR,97720-1748,0000,03,3,2000,201309,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,P80,
010965731,YAMHILL VALLEY PEACEMAKERS,% MARK DAVIS,652 SE WASHINGTON ST,MCMINNVILLE,OR,97128-6127,0000,04,3,3000,201111,2,00,000000000,1,01,201612,0,0,02,0,12,0,0,0,R01,
010966625,MONMOUTH GARDEN CLUB,% JANET M BAKER,5935 COOPER HOLLOW RD,MONMOUTH,OR,97361-9642,0000,03,3,1000,201510,1,15,000000000,5,01,201703,0,0,02,0,03,0,0,0,C42,
010975655,A B A T E OF OREGON,,PO BOX 4504,PORTLAND,OR,97208-4504,8037,04,9,1000,198604,2,00,559318509,0,01,,0,0,01,0,12,,,,,JACKSON COUNTY ABATE
010975840,NORTHWEST RUSSIAN AMERICAN COMMUNITY CENTER,% RAFAIL LEVKOVSKY,6780 SW 153RD AVE,BEAVERTON,OR,97007-5065,0000,03,3,1000,201106,1,16,000000000,1,01,201612,0,0,02,0,12,0,0,0,P84,
010976744,DEPARTMENT OF OREGON LADIES AUXILIARY TO THE VFW OF THE U S,% LAVERN GUSTAFSON,61955 HIGHWAY 197,DUFUR,OR,97021-6902,5743,19,9,1000,201007,2,00,000000000,5,01,201706,0,0,02,0,06,0,0,0,W30,2471 WILLARD ANDERSON AUXILIARY
020348900,MISSIONARY SERVANTS OF POPE JOHN PAUL I,,7845 SW 186TH AVE,BEAVERTON,OR,97007-5683,0000,03,3,1000,198103,1,15,006000000,1,01,201612,1,3,02,0,12,1,43882,43882,Q330,
020530982,SEVENTH PRINCIPLE PROJECT OF THE UUA,% THERESA S WIGGINS,1034 SW 13TH AVE,PORTLAND,OR,97205-1702,0000,03,3,1270,200207,1,16,000000000,1,01,201706,3,3,01,0,06,51145,82837,82837,P99,
020531598,OREGON BUDDHIST VIHARA INC,% VEN PALLEBAGE CHANDRASIRI,148 SE WALNUT ST,HILLSBORO,OR,97123-4423,0000,03,3,7000,200207,1,10,000000000,1,01,,0,0,06,0,12,,,,X50,
020534200,AMPLIFIED VERSION MINISTRIES,% PAUL MORGAN,2469 WINTERGREEN AVE NW,SALEM,OR,97304-1916,7086,03,9,7000,198406,1,10,001007029,1,01,,0,0,06,0,12,,,,,
020549589,SOUTHERN OREGON BLUES SOCIETY,% DAVE VESTNEYS,42 LILLIE MAE LN,ROGUE RIVER,OR,97537-9507,0000,04,3,3000,200311,2,00,000000000,1,01,201612,0,0,02,0,12,0,0,0,A6C,
020552421,PACIFIC NORTHWEST FOREST SERVICE ASSOCIATION INC,,PO BOX 5583,PORTLAND,OR,97228-5583,0000,03,3,2000,200206,1,15,000000000,1,01,201612,4,2,02,0,12,135922,21886,21886,C30,
020562462,ANTIOCH CHRISTIAN FELLOWSHIP,,PO BOX 19626,PORTLAND,OR,97280-0626,1675,03,9,7000,196408,1,10,001029000,5,01,,0,0,06,0,12,,,,,
020572789,PORTLAND THEATRE WORKS,,PO BOX 11806,PORTLAND,OR,97211-0806,0000,03,3,2100,200304,1,15,000000000,1,01,201703,0,0,02,0,03,0,0,0,A61,
020584357,TILLAMOOK ESTUARIES PARTNERSHIP,% TILLAMOOK ESTUARIES PARTNERSHIP,PO BOX 493,GARIBALDI,OR,97118-0493,0000,03,3,1000,200205,1,15,000000000,1,01,201609,5,6,01,0,09,522096,1267147,1255257,C30,
020588614,HEALING HARVEST,% MARGARET T MATOBA,2035 VALHALLA ST,EUGENE,OR,97401-4936,0000,03,3,1000,200305,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,E70,
020597712,FRIENDS OF THE POOL SANDY OR,% KIMBERLEY NELSON,PO BOX 1705,SANDY,OR,97055-1705,0000,03,3,1000,200503,1,16,000000000,1,01,201512,0,0,02,0,12,0,0,0,N123,
020607278,AMERICAN CHEMICAL SOCIETY,% DR RICHARD L NAFSHUN,139 GILBERT HALL / OR STATE UNIV,CORVALLIS,OR,97331-0000,0945,03,9,2800,194605,0,16,000000000,5,01,201612,0,0,02,0,12,0,0,0,,NORTHWEST REGION
020609835,FRIENDS OF THE TUALATIN PUBLIC LIBRARY,% MARILYN BOGDAN,PO BOX 3914,TUALATIN,OR,97062-3914,0000,03,3,1000,200509,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,B117,
020612966,COLUMBIA RIVER PIECEMAKERS QUILT GUILD,% DEB DAVIS,PO BOX 234,COLUMBIA CITY,OR,97018-0234,0000,07,3,1000,200209,2,00,000000000,1,01,201707,0,0,02,0,07,0,0,0,N50,
020647127,THE OREGON STATE FEDERATION OF GARDEN CLUBS INC,% STANLEY CHIOTTI,244 SHORE DR,SAINT HELENS,OR,97051-1130,3973,03,9,1200,200305,1,16,000000000,5,01,201706,0,0,02,0,06,0,0,0,C42,ST HELENS GARDEN CLUB
020651587,CHRISTIAN BUSINESS ASSOCIATES MINISTRIES,% TEODOR SACACIU,15550 SE YAMHILL ST,PORTLAND,OR,97233-3247,0000,03,3,7000,200408,1,10,000000000,1,01,,0,0,06,0,06,,,,X21,
020658798,FR BERNARD YOUTH CENTER INC,,PO BOX 790,MOUNT ANGEL,OR,97362-0790,0000,03,3,1720,200310,1,16,000000000,1,01,201606,5,4,01,0,06,738208,497029,472918,X20,
020659877,THE OREGON STATE FEDERATION OF GARDEN CLUBS INC,% JOHN W LUDI,35071 SE HIGHWAY 211,BORING,OR,97009-9584,3973,03,9,1200,200305,1,16,000000000,5,01,201706,0,0,02,0,06,0,0,0,C42,SANDY GARDEN CLUB
020662892,HABITAT MEDIA INC,% STEVE COWAN,4227 SE MITCHELL ST,PORTLAND,OR,97206-5070,0000,03,3,1000,200308,1,16,000000000,1,01,201612,1,1,02,0,12,1306,4090,4090,A31,
020667840,IONE EDUCATION FOUNDATION,% JOE RIETMANN,PO BOX 61,IONE,OR,97843-0061,0000,03,3,1000,200303,1,15,000000000,1,01,201612,6,4,01,0,12,1376954,146658,138879,B112,
020677354,SUTTON SENIOR ANNEX INC,% SPENCER BIEGEL,1625 SE LAFAYETTE ST,PORTLAND,OR,97202-3862,0000,03,3,1000,200307,1,16,000000000,1,01,201706,5,3,02,0,06,618815,42931,42931,L22,BRANGAN CHARLES
020677361,SULLIVAN SENIOR HOUSING INC,% MANOR MANAGEMENT OF ALASKA INC,1625 SE LAFAYETTE ST,PORTLAND,OR,97202-3862,0000,03,3,1000,200303,1,16,000000000,1,01,201706,6,4,01,0,06,2606831,174764,174764,L25,BIEGEL SPENCER
020696828,MCCARGAR FAMILY FOUNDATION,% DEAN L MCCARGAR,3613 NE MALLORY AVE,PORTLAND,OR,97212-2044,0000,03,3,1000,200307,1,04,000000000,1,01,201612,3,2,00,1,12,48891,16655,,T22,
020704277,SILETZ VALLEY SCHOOL,% VAN PETERS,PO BOX 247,SILETZ,OR,97380-0247,0000,03,3,2000,200404,1,11,000000000,1,01,201606,6,6,01,0,06,1075509,1674627,1674627,B29,
020706812,UCB USA INC,% PERRY A ATKINSON,2070 MILLIGAN WAY,MEDFORD,OR,97504-5894,0000,03,3,1000,200407,1,15,000000000,1,01,201612,6,4,01,0,12,1110355,487644,487644,T70,DOVE BROADCASTING NETWORK
020709050,A BUTTERFLYS TOUCH,% KATHRYN WHEAT,PO BOX 68688,PORTLAND,OR,97268-0688,0000,03,3,1000,200403,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,P50,
020712956,OREGON ANIMAL RESCUE,% CARMEL GUZMAN,29420 SE LARIAT LN,BORING,OR,97009-7429,0000,03,3,1000,201410,1,15,000000000,1,01,201612,0,3,02,0,12,0,28003,28003,D20,
020714780,NORTHWEST ANIMAL COMPANIONS,% AMI WOUEL,5130 SW DOVER LN,PORTLAND,OR,97225-1021,0000,03,3,1000,200511,1,15,000000000,1,01,201612,4,3,02,0,12,143415,31281,31281,P20,
020730472,SOUTH SALEM ATHLETIC BOOSTER CLUB INC,% SOUTH SALEM HIGH SCHOOL,1910 CHURCH ST SE,SALEM,OR,97302-3018,0000,03,3,2000,200411,1,15,000000000,1,01,201606,3,3,01,0,06,67029,71159,30129,B11,
020737091,NATIONAL FEDERATION OF MUSIC CLUBS,% LISETTE SAGE,15805 S ABIQUA RD NE,SILVERTON,OR,97381-9703,3832,03,9,2000,200202,1,16,000000000,5,01,201706,0,0,02,0,06,0,0,0,A68,OREGON FEDERATION OF MUSIC CLUBS
020744328,GREATER JEFFERSON COMMUNITY CENTER,% ELIZABETH JONES,PO BOX 355,JEFFERSON,OR,97352-0355,0000,03,3,1000,200507,1,15,000000000,5,01,201612,0,0,02,0,12,0,0,0,S20,
020750280,FRIENDS OF UNION COUNTY LIBRARIES,% SHIRLEY ROBERTS,62425 HUNTER RD,LA GRANDE,OR,97850-5134,0000,03,3,1000,200902,1,15,000000000,1,01,201412,0,0,02,0,12,0,0,0,B127,FOUCL
020760075,HUMAN DIGNITY AND HUMILIATION STUDIES INC,% RICHARD L SLAVEN,16 NORTHVIEW CT,LAKE OSWEGO,OR,97035-1071,0000,03,3,2000,200708,1,15,000000000,1,01,201706,0,0,02,0,06,0,0,0,R05,
020761530,REGIONAL DISTRICT COUNCIL VACATION TRUST FUND,% WILLIAM C EARHART CO INC,3140 NE BROADWAY ST,PORTLAND,OR,97232-1813,0000,09,3,1000,200705,2,00,000000000,1,01,201606,6,6,01,0,06,1157502,1323325,1323325,Y43,
020763458,PACIFIC HOUSING RENTALS INC,% RANDY RUGG,PO BOX 510,WILSONVILLE,OR,97070-0510,0000,03,3,1000,200610,1,15,000000000,1,01,201412,1,0,02,0,12,1,0,0,L21,
020763609,WARRENTON HIGH FISHERIES INC,% MICHAEL BALENSIFER,947 SE ANCHOR AVE,WARRENTON,OR,97146-9512,0000,03,3,1000,200604,1,15,000000000,1,01,201612,0,0,02,0,12,0,0,0,D33,
020811855,JUSLUV INC,% GLORIA HARRIS,14925 SW BARROWS RD 109-111,BEAVERTON,OR,97007-7565,0000,03,3,1000,200801,1,15,000000000,1,01,201406,1,0,02,0,06,1,0,0,G81,
030373895,JAMES F AND MARION L MILLER FOUNDATION,% CHARLES H PUTNEY,520 SW YAMHILL ST STE 520,PORTLAND,OR,97204-1328,0000,03,3,1000,200303,1,04,000000000,1,01,201612,9,9,00,1,12,147465307,57965304,,T22,
030380469,LITTLE LEAGUE BASEBALL INC,% CHARITY HANSEN,PO BOX 22936,EUGENE,OR,97402-0423,3158,03,9,1000,196701,1,15,321059000,1,01,201609,2,3,01,0,09,16131,50369,48049,,128388 EUGENE LL
